date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:52	23647/23647	---M--	200	added ('OK')	image/jpeg	etag:%225931c23a-5c5f%22	https://x-tape.ru/assets/images/products/41/345x345/orange-tape.jpg	/home/idealasgas/websites/tapes/x-tape.ru/assets/images/products/41/345x345/orange-tape.jpg	(from https://x-tape.ru/catalog/)
11:31:52	28630/28630	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Nov%202018%2008:31:52%20GMT	https://x-tape.ru/catalog/tape/kinezio-tejp-x-tape-oranzhevyij.html	/home/idealasgas/websites/tapes/x-tape.ru/catalog/tape/kinezio-tejp-x-tape-oranzhevyij.html	(from https://x-tape.ru/catalog/)
11:31:53	28337/28337	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Nov%202018%2008:31:53%20GMT	https://x-tape.ru/catalog/tape/kinezio-tejp-x-tape-chernyij.html	/home/idealasgas/websites/tapes/x-tape.ru/catalog/tape/kinezio-tejp-x-tape-chernyij.html	(from https://x-tape.ru/catalog/)
11:31:53	21567/21567	---M--	200	added ('OK')	image/jpeg	etag:%225931c271-543f%22	https://x-tape.ru/assets/images/products/42/345x345/black-tape.jpg	/home/idealasgas/websites/tapes/x-tape.ru/assets/images/products/42/345x345/black-tape.jpg	(from https://x-tape.ru/catalog/)
11:31:53	22047/22047	---M--	200	added ('OK')	image/jpeg	etag:%225931c2aa-561f%22	https://x-tape.ru/assets/images/products/43/345x345/violet-tape.jpg	/home/idealasgas/websites/tapes/x-tape.ru/assets/images/products/43/345x345/violet-tape.jpg	(from https://x-tape.ru/catalog/)
11:31:53	28710/28710	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Nov%202018%2008:31:53%20GMT	https://x-tape.ru/catalog/tape/kinezio-tejp-x-tape-fioletovyij.html	/home/idealasgas/websites/tapes/x-tape.ru/catalog/tape/kinezio-tejp-x-tape-fioletovyij.html	(from https://x-tape.ru/catalog/)
11:31:54	23214/23214	---M--	200	added ('OK')	image/jpeg	etag:%225931c300-5aae%22	https://x-tape.ru/assets/images/products/45/345x345/yellow-tape.jpg	/home/idealasgas/websites/tapes/x-tape.ru/assets/images/products/45/345x345/yellow-tape.jpg	(from https://x-tape.ru/catalog/)
11:31:54	28953/28953	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Nov%202018%2008:31:54%20GMT	https://x-tape.ru/catalog/tape/kinezio-tejp-x-tape-zheltyij.html	/home/idealasgas/websites/tapes/x-tape.ru/catalog/tape/kinezio-tejp-x-tape-zheltyij.html	(from https://x-tape.ru/catalog/)
11:31:54	23897/23897	---M--	200	added ('OK')	image/jpeg	etag:%225931c2d5-5d59%22	https://x-tape.ru/assets/images/products/44/345x345/blue-tape.jpg	/home/idealasgas/websites/tapes/x-tape.ru/assets/images/products/44/345x345/blue-tape.jpg	(from https://x-tape.ru/catalog/)
11:31:54	28432/28432	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Nov%202018%2008:31:54%20GMT	https://x-tape.ru/catalog/tape/kinezio-tejp-x-tape-goluboj.html	/home/idealasgas/websites/tapes/x-tape.ru/catalog/tape/kinezio-tejp-x-tape-goluboj.html	(from https://x-tape.ru/catalog/)
11:31:55	23087/23087	---M--	200	added ('OK')	image/jpeg	etag:%225931c339-5a2f%22	https://x-tape.ru/assets/images/products/46/345x345/rose-tape.jpg	/home/idealasgas/websites/tapes/x-tape.ru/assets/images/products/46/345x345/rose-tape.jpg	(from https://x-tape.ru/catalog/)
11:31:55	28233/28233	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Nov%202018%2008:31:55%20GMT	https://x-tape.ru/catalog/tape/kinezio-tejp-x-tape-rozovyij.html	/home/idealasgas/websites/tapes/x-tape.ru/catalog/tape/kinezio-tejp-x-tape-rozovyij.html	(from https://x-tape.ru/catalog/)
11:31:56	12759/12759	---M--	200	added ('OK')	image/jpeg	etag:%22580e8137-31d7%22	https://x-tape.ru/assets/images/resources/39/215x175/2016-10-25-00-46-17.jpg	/home/idealasgas/websites/tapes/x-tape.ru/assets/images/resources/39/215x175/2016-10-25-00-46-17.jpg	(from https://x-tape.ru/smi/)
